position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Las Palmas,30,12.352941176470587,7.9411764705882355,9.705882352941178,0.049,0.043,0.006000000000000005,36.27450980392157,1978-79
7,Valencia,30,12.352941176470587,6.1764705882352935,11.470588235294116,0.044,0.039,0.0049999999999999975,34.31372549019608,1978-79
8,Español,30,13.235294117647058,4.411764705882353,12.352941176470587,0.037,0.046,-0.009000000000000001,34.31372549019608,1978-79
9,Athletic Bilbao,30,10.588235294117649,8.823529411764707,10.588235294117649,0.056,0.046,0.010000000000000002,33.33333333333333,1978-79
10,Salamanca,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.036,0.04,-0.0040000000000000036,33.33333333333333,1978-79
11,Sevilla,30,10.588235294117649,7.9411764705882355,11.470588235294116,0.047,0.048,-0.0010000000000000009,32.35294117647059,1978-79
12,Hércules,30,11.470588235294116,5.294117647058824,13.235294117647058,0.032,0.038,-0.005999999999999998,31.372549019607842,1978-79
13,Burgos,30,8.823529411764707,10.588235294117649,10.588235294117649,0.038,0.047,-0.009000000000000001,31.372549019607842,1978-79
14,Zaragoza,30,10.588235294117649,5.294117647058824,14.117647058823529,0.056,0.059,-0.0029999999999999957,29.411764705882355,1978-79
15,Rayo Vallecano,30,7.9411764705882355,9.705882352941178,12.352941176470587,0.031,0.054,-0.023,28.431372549019606,1978-79
16,Celta,30,7.9411764705882355,8.823529411764707,13.235294117647058,0.035,0.055,-0.019999999999999997,27.450980392156865,1978-79
17,Racing Santander,30,7.9411764705882355,3.5294117647058822,18.529411764705884,0.037,0.063,-0.026000000000000002,21.568627450980394,1978-79
18,Recreativo,30,7.0588235294117645,4.411764705882353,18.529411764705884,0.039,0.066,-0.027000000000000003,20.588235294117645,1978-79
1,Real Madrid,30,19.411764705882355,7.9411764705882355,2.647058823529412,0.07,0.033,0.037000000000000005,51.9607843137255,1979-80
2,Real Sociedad,30,16.764705882352942,12.352941176470587,0.8823529411764706,0.054,0.02,0.034,50.98039215686274,1979-80
